,precision,recall,f1-score,support
airplane,0.7922222222222223,0.713,0.7505263157894737,1000.0
automobile,0.8618677042801557,0.886,0.873767258382643,1000.0
bird,0.6424180327868853,0.627,0.6346153846153846,1000.0
cat,0.5483584738243124,0.618,0.5811001410437235,1000.0
deer,0.6913461538461538,0.719,0.7049019607843138,1000.0
dog,0.7503136762860728,0.598,0.6655537006121314,1000.0
frog,0.7431444241316271,0.813,0.7765042979942693,1000.0
horse,0.8168103448275862,0.758,0.7863070539419087,1000.0
ship,0.7758620689655172,0.9,0.8333333333333334,1000.0
truck,0.8621052631578947,0.819,0.84,1000.0
accuracy,0.7451,0.7451,0.7451,0.7451
macro avg,0.7484448364328425,0.7451000000000001,0.744660944649718,10000.0
weighted avg,0.7484448364328428,0.7451,0.7446609446497181,10000.0
